dataset,file,timestamp,snapshot_index,elapsed_min,rul_min,bearing,rms,std,ptp,kurtosis,crest_factor,mean_abs,E_FTF,E_BPFO,E_BPFI,E_BSF,E_kin,time_norm,rul_norm
1st_test,2003.10.22.12.06.24,2003-10-22 12:06:24,0,0.0,49653.53333333333,3,0.13035408567014134,0.0934732544674671,1.0475,3.5912506133857884,4.8978921754926406,0.107150048828125,7482.913203721333,2470.147513297768,2124.7457042600986,2780.7642790002483,14858.570700279448,0.0,1.0
1st_test,2003.10.22.12.09.13,2003-10-22 12:09:13,1,2.816666666666667,49650.71666666667,3,0.13080555369467495,0.09305777375078528,1.0259999999999998,3.5639971323607487,4.36528918998204,0.1075565185546875,12866.651847264926,3340.8547789076047,2040.5620295615938,3485.1280366254887,21733.196692359612,5.672640953379619e-05,0.9999432735904662
1st_test,2003.10.22.12.14.13,2003-10-22 12:14:13,2,7.816666666666666,49645.71666666667,3,0.13231961902379408,0.09293391590323166,0.9855,3.570066589829426,4.613549585503318,0.1093108642578125,15060.377129919256,2910.521785552193,2392.8379662433153,3465.436348149129,23829.173229863893,0.00015742417793698467,0.999842575822063
1st_test,2003.10.22.12.19.13,2003-10-22 12:19:13,3,12.816666666666666,49640.71666666667,3,0.132525948430887,0.09444512915275216,0.9550000000000001,3.4645870869518784,4.658366906583497,0.109039404296875,10985.19169568106,3420.221118786582,2433.4201334521067,3529.5195101095783,20368.352458029323,0.00025812194634017315,0.9997418780536599
1st_test,2003.10.22.12.24.13,2003-10-22 12:24:13,4,17.816666666666666,49635.71666666667,3,0.13229401746691707,0.09348719572013328,1.0265,3.4007474118730086,4.343915147869087,0.10890114746093751,6813.066544741122,2732.313795518209,2339.669523312913,3228.1456897786466,15113.19555335089,0.0003588197147433617,0.9996411802852566
1st_test,2003.10.22.12.29.13,2003-10-22 12:29:13,5,22.816666666666666,49630.71666666667,3,0.13289901009205562,0.09491711903564616,0.9495,3.4564772508022186,4.066079843939444,0.1094799560546875,13710.325250868797,2793.8350645689143,2447.4651668561337,2742.807626222274,21694.433108516117,0.00045951748314655016,0.9995404825168535
1st_test,2003.10.22.12.34.13,2003-10-22 12:34:13,6,27.816666666666666,49625.71666666667,3,0.13201768507286277,0.093645623405079,0.901,3.3414906650923264,4.17900423983696,0.1089890869140625,9635.622272866374,3315.3877170431015,2058.36887709836,2374.617502024277,17383.996369032113,0.0005602152515497387,0.9994397847484503
1st_test,2003.10.22.12.39.13,2003-10-22 12:39:13,7,32.81666666666667,49620.71666666667,3,0.1321711838658754,0.0937323016484288,1.073,3.7437907019281935,4.646729614054939,0.1088348388671875,15117.543164573526,3040.626809773687,2551.1816758300033,2878.6147839423547,23587.96643411957,0.0006609130199529272,0.9993390869800471
1st_test,2003.10.22.12.44.13,2003-10-22 12:44:13,8,37.81666666666667,49615.71666666667,3,0.13152900282162502,0.09233791430368612,0.9729999999999999,3.4719211191372565,4.814562075018062,0.1086996826171875,12198.49895464374,3095.4185768958296,2593.6256424935978,2489.2258271373594,20376.769001170527,0.0007616107883561158,0.9992383892116439
1st_test,2003.10.22.12.49.13,2003-10-22 12:49:13,9,42.81666666666667,49610.71666666667,3,0.13211365001482814,0.09377747856619376,1.0465,3.6017341244684618,4.507723737064508,0.1088517333984375,8003.668908244112,3086.8916963947895,2301.003681533891,2377.797216909599,15769.36150308239,0.0008623085567593042,0.9991376914432407
1st_test,2003.10.22.12.54.13,2003-10-22 12:54:13,10,47.81666666666667,49605.71666666667,3,0.13153433717055196,0.09204784834096594,0.907,3.363751190812769,4.282182798225941,0.10853659667968751,8027.191491536591,2341.3129198116203,1851.5367178883173,2608.9291546742143,14828.970283910741,0.0009630063251624927,0.9990369936748376
1st_test,2003.10.22.12.59.13,2003-10-22 12:59:13,11,52.81666666666667,49600.71666666667,3,0.13264126292146067,0.09389004402845832,0.964,3.4875431902393563,4.6276154531698355,0.1094353515625,13929.712025042681,4023.0207952390647,2603.075022460863,3055.3829282058914,23611.190770948495,0.0010637040935656812,0.9989362959064343
1st_test,2003.10.22.13.04.13,2003-10-22 13:04:13,12,57.81666666666667,49595.71666666667,3,0.13103018187698404,0.09235376733019765,1.0545,3.605744073037089,5.0590781803678535,0.1080470458984375,9380.765215854313,2720.8461374469052,2837.707693732177,2643.1083134424603,17582.427360475856,0.0011644018619688698,0.9988355981380311
1st_test,2003.10.22.13.09.13,2003-10-22 13:09:13,13,62.81666666666667,49590.71666666667,3,0.132922373320052,0.09359013506871634,1.0325,3.5996383481760548,4.648557794500103,0.1095739013671875,12475.370400747473,3257.7898536666416,2238.1930046458056,4489.632477287774,22460.985736347695,0.0012650996303720582,0.998734900369628
