dataset,file,timestamp,snapshot_index,elapsed_min,rul_min,bearing,rms,std,ptp,kurtosis,crest_factor,mean_abs,E_FTF,E_BPFO,E_BPFI,E_BSF,E_kin,time_norm,rul_norm
1st_test,2003.10.22.12.06.24,2003-10-22 12:06:24,0,0.0,49653.53333333333,4,0.11214395712895152,0.06323228063203641,0.7535,4.299119782126404,3.9372144116090695,0.0971596923828125,11425.39944726017,3026.6382554846127,1736.6389946300396,2927.443379179389,19116.12007655421,0.0,1.0
1st_test,2003.10.22.12.09.13,2003-10-22 12:09:13,1,2.816666666666667,49650.71666666667,4,0.10905370018931905,0.062082117074241855,0.8480000000000001,4.553945539258401,4.7990549964917,0.0943275390625,18384.2436673925,2303.43228115316,1642.7262758685479,2562.724069193704,24893.12629360791,5.672640953379619e-05,0.9999432735904662
1st_test,2003.10.22.12.14.13,2003-10-22 12:14:13,2,7.816666666666666,49645.71666666667,4,0.11200757259300054,0.06261062062272327,0.817,4.177201280931858,4.437806104321822,0.09722863769531251,8698.790497156282,1566.881960786428,1861.4680502284996,2732.4608439789126,14859.601352150123,0.00015742417793698467,0.999842575822063
1st_test,2003.10.22.12.19.13,2003-10-22 12:19:13,3,12.816666666666666,49640.71666666667,4,0.1127250357855289,0.06310836178305744,0.7215,4.015425470611243,4.063999272072843,0.0977066650390625,9798.420474374956,2033.6347684508028,1498.0933764098813,1708.1252637850275,15038.273883020667,0.00025812194634017315,0.9997418780536599
1st_test,2003.10.22.12.24.13,2003-10-22 12:24:13,4,17.816666666666666,49635.71666666667,4,0.11222393395846006,0.06276688845344884,0.731,4.066614229455556,3.9904518958812627,0.0974137939453125,9905.108745492173,2364.386777226282,1115.427444517348,2205.8431785617568,15590.76614579756,0.0003588197147433617,0.9996411802852566
1st_test,2003.10.22.12.29.13,2003-10-22 12:29:13,5,22.816666666666666,49630.71666666667,4,0.11688755181306404,0.0620041148930504,0.6200000000000001,3.907632244580923,3.556486013605941,0.10257705078125,12656.381921008757,1660.6157699783662,1627.2689407598739,2791.701046136843,18735.96767788384,0.00045951748314655016,0.9995404825168535
1st_test,2003.10.22.12.34.13,2003-10-22 12:34:13,6,27.816666666666666,49625.71666666667,4,0.08941606747825315,0.06410240623082647,0.6945,3.926234292282223,4.577255869864992,0.0743945556640625,10569.715153925368,2680.6730666936137,1258.103705575026,1650.4260238068448,16158.91795000085,0.0005602152515497387,0.9994397847484503
1st_test,2003.10.22.12.39.13,2003-10-22 12:39:13,7,32.81666666666667,49620.71666666667,4,0.11453865067527992,0.06166617275413377,0.6895,4.17617852204478,4.066374818304899,0.1002507080078125,12027.837612628406,2471.6211565764156,2025.4780320465748,2474.3752330545503,18999.312034305945,0.0006609130199529272,0.9993390869800471
1st_test,2003.10.22.12.44.13,2003-10-22 12:44:13,8,37.81666666666667,49615.71666666667,4,0.09787774943345355,0.06226347399350171,0.7905,4.161223980602929,4.57748548224401,0.08262043457031251,16820.08793169527,1688.1788848739816,1916.848439628804,1780.6029140495789,22205.718170247634,0.0007616107883561158,0.9992383892116439
1st_test,2003.10.22.12.49.13,2003-10-22 12:49:13,9,42.81666666666667,49610.71666666667,4,0.10654128284785547,0.06289987347262974,0.7144999999999999,4.088918545818277,4.032525186185175,0.09137719726562499,13404.375226003333,1841.804693086862,1599.5065912240216,1651.2430328266296,18496.929543140846,0.0008623085567593042,0.9991376914432407
