dataset,file,timestamp,snapshot_index,elapsed_min,rul_min,bearing,rms,std,ptp,kurtosis,crest_factor,mean_abs,E_FTF,E_BPFO,E_BPFI,E_BSF,E_kin,time_norm,rul_norm
2nd_test,2004.02.12.10.32.39,2004-02-12 10:32:39,0,0.0,9830.0,1,0.07417899856512623,0.07347493104305192,0.8400000000000001,3.6287625181349537,6.120330670078885,0.058332421875000005,5345.307946125164,2764.9766452298045,3123.602221857007,1752.2927472004524,12986.179560412427,0.0,0.9999999999999998
2nd_test,2004.02.12.10.42.39,2004-02-12 10:42:39,1,10.0,9820.0,1,0.07538245681139528,0.07533812128951384,0.757,3.648290968062912,5.147086157799521,0.058996630859374996,3403.6402856264685,4004.239728592626,1720.6334540697035,2454.6926250836746,11583.206093372473,0.0010172939979654118,0.9989827060020344
2nd_test,2004.02.12.10.52.39,2004-02-12 10:52:39,2,20.0,9810.0,1,0.07622977446919937,0.0761892927992494,0.903,3.513475204552787,6.5984715748652585,0.06023896484375,4888.501729990001,3062.728589495377,2120.093810723013,3048.2363323009668,13119.560462509358,0.0020345879959308235,0.997965412004069
2nd_test,2004.02.12.11.02.39,2004-02-12 11:02:39,3,30.0,9800.0,1,0.07872367646602975,0.07869075089989153,1.184,4.157952614565989,7.7232165377164055,0.061453271484375,5809.225333715186,5531.284180162073,2615.1444131991893,3121.4392689691012,17077.09319604555,0.0030518819938962355,0.9969481180061036
2nd_test,2004.02.12.11.12.39,2004-02-12 11:12:39,4,40.0,9790.0,1,0.07847429073677968,0.07843746411081838,0.782,3.603176833441021,4.982523528712338,0.061360986328125,6100.749155955393,4205.976378457781,1864.3908142544392,3051.6346710002617,15222.751019667874,0.004069175991861647,0.9959308240081381
2nd_test,2004.02.12.11.22.39,2004-02-12 11:22:39,5,50.0,9780.0,1,0.07831464139380724,0.07829782000144782,0.8049999999999999,3.4560935295054396,5.605592928490489,0.061668505859375,5888.533718564332,3067.850024611756,2281.497379602201,2666.7113813908663,13904.592504169155,0.0050864699898270594,0.9949135300101728
2nd_test,2004.02.12.11.32.39,2004-02-12 11:32:39,6,60.0,9770.0,1,0.07863244325857172,0.07861603186545633,0.796,3.478614884538811,5.188697986315403,0.061943945312500005,10960.927616125575,5425.198324093636,2354.2708674125706,3768.678349449201,22509.075157080984,0.006103763987792471,0.9938962360122073
2nd_test,2004.02.12.11.42.39,2004-02-12 11:42:39,7,70.0,9760.0,1,0.07777288022464836,0.07774646967579023,0.749,3.4719823600030795,5.336050288942996,0.061231347656250004,10029.641992491182,3188.4829785609263,2738.510013543778,2725.3279798733643,18681.96296446925,0.0071210579857578825,0.992878942014242
2nd_test,2004.02.12.11.52.39,2004-02-12 11:52:39,8,80.0,9750.0,1,0.07902942984262255,0.07900619543360511,0.747,3.404514233517603,4.884256418954148,0.06228134765625,3839.869851161344,2017.5696730621278,2638.8274967434445,2742.5320941491573,11238.799115116073,0.008138351983723294,0.9918616480162765
2nd_test,2004.02.12.12.02.39,2004-02-12 12:02:39,9,90.0,9740.0,1,0.07571755989830316,0.07568852631669241,0.722,3.3252032137276637,4.992236946128513,0.059892822265625,3578.508749457685,4488.0812179966115,2422.8494373003064,2955.413633316721,13444.853038071324,0.009155645981688706,0.9908443540183111
2nd_test,2004.02.12.12.12.39,2004-02-12 12:12:39,10,100.0,9730.0,1,0.07924111648011797,0.07922086801763584,0.815,3.455211844147713,5.237180120990453,0.062369384765625015,6481.766355972762,2574.6969639081267,2193.6982972233122,4253.623949704761,15503.785566808961,0.010172939979654119,0.9898270600203457
2nd_test,2004.02.12.12.22.39,2004-02-12 12:22:39,11,110.0,9720.0,1,0.077638908086269,0.07762333368719734,0.913,3.6415149746427278,6.1051863257428405,0.06083764648437501,6600.904884348654,4392.413507268786,2366.660489298919,3534.9472628913413,16894.9261438077,0.01119023397761953,0.9888097660223802
2nd_test,2004.02.12.12.32.39,2004-02-12 12:32:39,12,120.0,9710.0,1,0.07740458087623109,0.07736575740151559,0.778,3.364725944295025,5.1676528115878195,0.061091308593750004,4070.1228397423024,3336.7304627390495,2588.229624505862,3234.595301841685,13229.6782288289,0.012207527975584942,0.9877924720244149
2nd_test,2004.02.12.12.42.39,2004-02-12 12:42:39,13,130.0,9700.0,1,0.07986468720103242,0.07985799357629145,0.852,3.598253066203721,5.409149088722735,0.06260361328125,10045.901599504805,5443.443381440017,3144.57291029292,3748.1855470331366,22382.103438270875,0.013224821973550354,0.9867751780264494
2nd_test,2004.02.12.12.52.39,2004-02-12 12:52:39,14,140.0,9690.0,1,0.07921698007145074,0.07918146190235564,0.8049999999999999,3.5511102680033666,5.32714071672569,0.062341455078125,5318.783628000045,3052.9253390435506,3535.783438816475,3228.4467427949558,15135.939148655027,0.014242115971515765,0.9857578840284841
2nd_test,2004.02.12.13.02.39,2004-02-12 13:02:39,15,150.0,9680.0,1,0.07866177721938719,0.07864707093207793,0.725,3.553051568613506,4.716394837616838,0.06163056640625,7113.721006049469,4007.7543381053606,2446.8249160645796,3680.7884115401534,17249.08867175956,0.015259409969481177,0.9847405900305186
2nd_test,2004.02.12.13.12.39,2004-02-12 13:12:39,16,160.0,9670.0,1,0.07845338360094803,0.07842744893849181,0.8200000000000001,3.4799660070915373,5.595679623295425,0.06188349609375001,6006.022863144755,3710.6758800449825,2853.5222493174615,3515.944055767427,16086.165048274626,0.016276703967446588,0.9837232960325533
2nd_test,2004.02.12.13.22.39,2004-02-12 13:22:39,17,170.0,9660.0,1,0.07762277416041877,0.07760498435587541,0.849,3.4477487861038556,5.71997077915161,0.061244482421875,5595.2607785146,3767.4620685351683,2143.9466969301907,3251.099037183951,14757.76858116391,0.017293997965412002,0.9827060020345878
2nd_test,2004.02.12.13.32.39,2004-02-12 13:32:39,18,180.0,9650.0,1,0.07782555832949016,0.07777670281156139,0.761,3.34144522505948,5.2039459618156165,0.06147446289062499,7847.958340003461,4264.41169375115,2777.897415757215,2489.8293164430206,17380.096765954848,0.018311291963377413,0.9816887080366224
2nd_test,2004.02.12.13.42.39,2004-02-12 13:42:39,19,190.0,9640.0,1,0.07893316063389487,0.07890076758853798,0.874,3.5964295594848084,5.967073866186725,0.061842382812500006,6145.398477978265,4790.310991786193,2200.188355655563,2903.134514557145,16039.032339977164,0.019328585961342824,0.980671414038657
2nd_test,2004.02.12.13.52.39,2004-02-12 13:52:39,20,200.0,9630.0,1,0.07902854786058722,0.07901527413866453,0.8029999999999999,3.5063800211107585,5.251266931120162,0.062211376953124994,4971.805163319894,3709.0879219575254,1739.403483214131,2522.755065541379,12943.05163403293,0.020345879959308238,0.9796541200406916
2nd_test,2004.02.12.14.02.39,2004-02-12 14:02:39,21,210.0,9620.0,1,0.07936328499916934,0.07934267114626233,0.742,3.384406758000449,4.800708539209119,0.062623291015625,6532.312216280847,3816.2077327443344,2282.4096397338735,2723.86264001614,15354.792228775197,0.02136317395727365,0.9786368260427262
2nd_test,2004.02.12.14.12.39,2004-02-12 14:12:39,22,220.0,9610.0,1,0.07948672040475141,0.07946629829958578,0.6859999999999999,3.414972356918276,4.327766930677256,0.062512646484375,6701.987398888216,3783.275239797707,3547.8063593894326,3337.1653820427755,17370.23438011813,0.02238046795523906,0.9776195320447607
2nd_test,2004.02.12.14.22.39,2004-02-12 14:22:39,23,230.0,9600.0,1,0.07975294340914243,0.07972131548057863,0.759,3.5200739446443805,4.927717814487846,0.06260395507812501,6696.290638113353,5291.766965359217,1744.4431728728223,4067.7743219772265,17800.27509832262,0.023397761953204473,0.9766022380467954
