dataset,file,timestamp,snapshot_index,elapsed_min,rul_min,bearing,rms,std,ptp,kurtosis,crest_factor,mean_abs,E_FTF,E_BPFO,E_BPFI,E_BSF,E_kin,time_norm,rul_norm
3rd_test,2004.03.04.09.27.46,2004-03-04 09:27:46,0,0.0,64395.15,3,0.06639000757244083,0.0661901180261066,0.671,3.592252843594783,5.4375652781882975,0.05199023437500001,6842.038761537955,1609.6130526414877,1417.1799480668728,2152.0051901598126,12020.836952406127,0.0,1.0
3rd_test,2004.03.04.09.32.46,2004-03-04 09:32:46,1,5.0,64390.15,3,0.06628544857930264,0.06598447265832763,0.59,3.3600788252467497,4.450448874048384,0.052238037109375,4297.553310263121,1439.5774481274475,1293.3322888306245,1439.2772350102261,8469.74028223142,7.764559908626659e-05,0.9999223544009137
3rd_test,2004.03.04.09.42.46,2004-03-04 09:42:46,2,15.0,64380.15,3,0.06918603099445454,0.0691739528135406,0.572,3.2140374018687803,4.1337824396775975,0.054810498046875,3370.8363375187773,1359.298769774077,1513.126766221958,1871.4441614481927,8114.706034963006,0.00023293679725879977,0.9997670632027412
3rd_test,2004.03.04.09.52.46,2004-03-04 09:52:46,3,25.0,64370.15,3,0.06863659005326987,0.06859869987474632,0.659,3.2993574108444714,5.084751438322492,0.054261767578124995,4537.270547451802,1329.318579828056,1567.9008302583118,2530.036939309328,9964.526896847497,0.00038822799543133295,0.9996117720045686
3rd_test,2004.03.04.10.02.46,2004-03-04 10:02:46,4,35.0,64360.15,3,0.06746909340174304,0.06744697679906908,0.762,3.3960856127194927,5.7507812900925295,0.053243115234375006,4292.369279049921,1394.7727364740094,1081.9562566109023,1654.6741870239548,8423.772459158787,0.0005435191936038661,0.9994564808063962
3rd_test,2004.03.04.10.12.46,2004-03-04 10:12:46,5,45.0,64350.15,3,0.06983042028841191,0.06978018637817324,0.727,3.424141919331555,5.48471566421422,0.05501982421875,3018.513234062904,1892.1934024648294,1174.518806041191,1809.3728950916236,7894.598337660548,0.0006988103917763993,0.9993011896082236
3rd_test,2004.03.04.10.22.46,2004-03-04 10:22:46,6,55.0,64340.15,3,0.06949913197805513,0.06947662475471619,0.986,3.666800977639406,8.705144694214715,0.054542431640625014,5880.413238176842,1504.120460372196,1164.4844562288079,2295.8458003973806,10844.863955175228,0.0008541015899489325,0.9991458984100511
3rd_test,2004.03.04.10.32.46,2004-03-04 10:32:46,7,65.0,64330.15,3,0.06703044907738293,0.06700373530777332,0.713,3.431155840865825,5.355774949086178,0.052851806640625,5219.648230315103,2218.3275855623756,1564.0899701501698,1606.201552099812,10608.26733812746,0.0010093927881214657,0.9989906072118785
3rd_test,2004.03.04.10.42.46,2004-03-04 10:42:46,8,75.0,64320.15,3,0.07006494998782825,0.0700452823848609,0.6539999999999999,3.3389724468609248,5.052454901579816,0.055356591796875,5107.190199990515,1860.0402967315385,1205.9460963369843,1615.7647377575843,9788.941330816622,0.0011646839862939989,0.998835316013706
3rd_test,2004.03.04.10.52.46,2004-03-04 10:52:46,9,85.0,64310.15,3,0.06936570285394558,0.06932766635303733,0.759,3.331244430760942,5.76653855633038,0.054707470703125004,4658.037923939859,1491.6424832439761,1549.528148506821,1856.3091682812383,9555.517723971894,0.001319975184466532,0.9986800248155334
